Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,CarInsurance
1,32,management,single,tertiary,No,1218,Yes,No,telephone,28,jan,2,-1,0,No
3,29,management,single,tertiary,No,637,Yes,No,cellular,3,jun,1,119,1,Yes
4,25,student,single,primary,No,373,Yes,No,cellular,11,may,2,-1,0,Yes
5,30,management,married,tertiary,No,2694,No,No,cellular,3,jun,1,-1,0,No
6,32,technician,single,tertiary,No,1625,No,No,cellular,22,may,1,109,1,Yes
7,37,admin.,single,tertiary,No,1000,Yes,No,cellular,17,mar,1,-1,0,Yes
9,30,admin.,married,secondary,No,187,Yes,No,cellular,18,nov,1,-1,0,No
10,30,blue-collar,married,secondary,No,3,Yes,Yes,cellular,12,may,2,-1,0,No
11,27,services,single,secondary,No,0,No,No,cellular,1,jun,1,-1,0,No
12,53,blue-collar,married,primary,Yes,-462,No,No,cellular,29,jan,1,-1,0,Yes
13,44,technician,married,secondary,No,2776,Yes,No,cellular,27,jan,1,-1,0,Yes
16,61,management,single,tertiary,No,2,No,No,cellular,12,aug,1,114,3,Yes
17,34,admin.,single,secondary,No,69,Yes,No,telephone,6,may,3,362,4,No
18,46,management,married,tertiary,No,7331,No,No,cellular,11,sep,4,95,2,Yes
19,49,blue-collar,married,secondary,No,2039,Yes,No,cellular,6,may,1,169,2,Yes
20,50,blue-collar,married,primary,No,82,No,No,telephone,5,apr,1,-1,0,Yes
22,80,retired,married,secondary,No,8304,No,No,telephone,8,sep,3,91,13,Yes
23,31,management,single,tertiary,No,0,No,No,cellular,21,aug,2,-1,0,No
24,63,retired,married,secondary,No,2896,No,No,cellular,1,jul,1,119,2,Yes
25,60,technician,married,secondary,No,824,Yes,No,cellular,9,feb,1,558,7,Yes
26,29,management,married,tertiary,No,900,No,No,cellular,17,jul,2,-1,0,No
27,54,management,married,primary,No,3859,No,Yes,cellular,20,nov,3,-1,0,No
31,54,technician,married,secondary,No,0,No,No,telephone,30,apr,3,84,3,Yes
32,32,admin.,single,secondary,No,6981,Yes,No,cellular,2,jun,1,194,3,No
33,57,retired,single,tertiary,No,842,No,No,cellular,13,aug,3,-1,0,Yes
34,36,management,divorced,tertiary,No,1057,No,No,cellular,5,feb,2,-1,0,No
36,39,blue-collar,married,secondary,No,300,Yes,No,cellular,14,may,1,-1,0,No
38,33,admin.,married,secondary,No,0,Yes,No,cellular,30,jul,5,-1,0,No
39,41,blue-collar,divorced,primary,No,138,Yes,No,cellular,18,jul,3,-1,0,Yes
40,35,admin.,married,secondary,No,216,Yes,Yes,cellular,17,nov,3,-1,0,No
43,35,management,single,tertiary,No,2707,No,No,cellular,5,feb,1,-1,0,Yes
44,40,admin.,married,secondary,No,2574,Yes,No,cellular,15,may,1,176,1,Yes
45,60,management,married,tertiary,No,70,No,No,cellular,21,aug,1,-1,0,No
47,42,management,divorced,secondary,No,283,Yes,No,cellular,23,jul,1,-1,0,Yes
48,79,retired,divorced,primary,No,79,No,No,cellular,9,oct,2,-1,0,Yes
50,33,technician,divorced,secondary,No,464,No,No,cellular,4,feb,4,-1,0,No
53,47,self-employed,married,secondary,No,4420,Yes,Yes,cellular,20,nov,1,-1,0,Yes
55,31,blue-collar,married,secondary,No,326,No,Yes,cellular,29,jan,1,-1,0,No
56,39,services,married,secondary,No,52,No,No,telephone,2,feb,3,-1,0,Yes
57,31,admin.,married,secondary,No,457,Yes,No,cellular,21,nov,1,171,5,No
58,46,entrepreneur,divorced,secondary,No,1187,No,Yes,cellular,13,oct,1,327,1,No
60,52,unemployed,married,secondary,No,5091,No,No,cellular,26,may,1,-1,0,No
61,36,management,divorced,tertiary,No,0,No,No,cellular,28,aug,4,-1,0,No
62,39,entrepreneur,married,secondary,No,11887,No,No,cellular,18,nov,2,-1,0,Yes
63,18,student,single,primary,No,608,No,No,cellular,12,aug,1,-1,0,Yes
65,36,services,single,secondary,No,0,Yes,No,cellular,15,may,4,-1,0,Yes
66,57,management,married,tertiary,No,473,No,No,cellular,1,jun,1,-1,0,Yes
67,28,blue-collar,single,secondary,No,1955,No,No,cellular,29,jan,1,-1,0,No
68,30,management,married,tertiary,No,860,Yes,No,cellular,20,apr,1,-1,0,No
69,41,blue-collar,married,secondary,No,2689,Yes,No,cellular,15,apr,1,-1,0,Yes
71,23,housemaid,married,tertiary,No,66,Yes,No,cellular,7,may,2,-1,0,Yes
73,25,technician,single,secondary,No,1298,No,No,cellular,2,sep,7,94,2,No
75,45,technician,divorced,tertiary,No,0,No,No,cellular,27,aug,4,-1,0,No
76,55,technician,divorced,secondary,No,3450,No,No,cellular,10,feb,1,183,1,Yes
77,32,technician,married,tertiary,No,903,Yes,No,cellular,23,jun,1,320,1,No
79,34,management,single,tertiary,No,11350,Yes,No,cellular,15,may,1,176,1,No
82,37,technician,married,tertiary,No,143,No,No,cellular,27,aug,6,-1,0,No
83,47,blue-collar,married,secondary,No,802,Yes,Yes,cellular,12,may,2,-1,0,Yes
85,49,unemployed,married,primary,No,518,No,No,cellular,29,jan,2,-1,0,Yes
86,34,admin.,divorced,secondary,No,0,No,No,cellular,10,jul,1,-1,0,No
88,33,services,married,secondary,No,210,Yes,No,cellular,13,may,2,-1,0,Yes
89,40,admin.,single,secondary,No,60,Yes,No,cellular,15,may,3,352,6,No
90,41,entrepreneur,single,secondary,No,663,No,No,cellular,24,jul,1,-1,0,Yes
94,46,services,divorced,secondary,No,1263,Yes,No,telephone,21,nov,2,-1,0,No
96,44,management,married,tertiary,No,446,No,No,cellular,25,jul,12,-1,0,No
97,48,management,divorced,tertiary,No,657,No,Yes,cellular,29,jan,2,-1,0,No
98,39,blue-collar,single,tertiary,No,48,No,No,cellular,3,jun,1,-1,0,Yes
99,46,blue-collar,married,primary,No,3969,No,No,telephone,7,jul,5,-1,0,No
100,19,student,single,primary,No,103,No,No,cellular,18,jan,2,95,4,No
101,36,management,married,tertiary,No,753,No,No,cellular,16,apr,4,-1,0,No
103,46,technician,married,secondary,No,9299,No,No,cellular,19,jul,1,276,2,Yes
104,56,retired,married,primary,No,9367,No,No,cellular,4,may,2,-1,0,Yes
105,57,management,married,secondary,No,7162,No,No,cellular,17,nov,1,-1,0,No
106,33,technician,married,tertiary,No,1699,No,No,cellular,4,aug,1,-1,0,Yes
107,41,admin.,married,secondary,No,437,Yes,No,cellular,2,feb,1,-1,0,No
108,31,management,married,tertiary,No,69,No,No,cellular,20,aug,2,-1,0,No
109,52,management,married,tertiary,No,388,No,No,cellular,25,may,1,-1,0,Yes
110,48,blue-collar,single,secondary,No,339,No,Yes,telephone,14,jul,4,-1,0,No
111,55,blue-collar,married,secondary,No,49,Yes,No,cellular,7,jul,4,-1,0,Yes
112,50,technician,married,secondary,No,3370,No,No,cellular,2,jun,2,-1,0,Yes
114,31,management,married,tertiary,No,2667,Yes,No,cellular,2,mar,2,-1,0,No
116,31,management,married,tertiary,No,1331,No,No,cellular,30,apr,1,86,3,Yes
117,37,services,married,secondary,No,4151,Yes,Yes,cellular,30,jul,4,-1,0,Yes
118,62,retired,married,secondary,No,569,No,No,cellular,4,feb,5,184,1,Yes
119,33,management,married,tertiary,No,1514,No,No,cellular,10,aug,1,728,2,Yes
